Actor,Action,Target,Sentence,Date Received,Locations,Datetimes
Cracker Barrel,scrapped a controversial text-only logo,,Cracker Barrel scrapped a controversial text-only logo after backlash.,2025-09-18T05:24:36+00:00,"Lebanon,Tennessee",
Julie Felss Masino,paused remodeling plans across stores,,Julie Felss Masino paused remodeling plans across stores.,2025-09-18T05:24:36+00:00,"Lebanon,Tennessee",
Cracker Barrel,warned of weaker restaurant traffic,,Cracker Barrel warned of weaker restaurant traffic following the logo backlash.,2025-09-18T05:24:36+00:00,"Lebanon,Tennessee",
Cracker Barrel,eliminated its DEI web page,,Cracker Barrel eliminated its DEI web page amid the rebrand fallout.,2025-09-18T05:24:36+00:00,"Lebanon,Tennessee",
Customers,pressed the company to keep its Old Timer logo,,Customers pressed the company to keep its Old Timer logo.,2025-09-18T05:24:36+00:00,"Lebanon,Tennessee",
Julie Felss Masino,said the brand had lost some relevancy,,Julie Felss Masino said the brand had lost some relevancy and needed updates.,2025-09-18T05:24:36+00:00,"Lebanon,Tennessee",
Cracker Barrel,added plant-based sausage to the menu,,Cracker Barrel added plant-based sausage to the menu and sparked backlash.,2025-09-18T05:24:36+00:00,USA,
Cracker Barrel,expanded beer and wine service,,Cracker Barrel expanded beer and wine service to hundreds of locations.,2025-09-18T05:24:36+00:00,USA,
Cracker Barrel,outlined a post-pandemic strategy with limited expansion,,Cracker Barrel outlined a post-pandemic strategy with limited expansion.,2025-09-18T05:24:36+00:00,USA,
Internet users,flooded Cracker Barrel's pages over 'Brad's wife',,Internet users flooded Cracker Barrel's pages over 'Brad's wife'.,2025-09-18T05:24:36+00:00,USA,
Cracker Barrel,closed several underperforming stores,,Cracker Barrel closed several underperforming stores during restructuring.,2025-09-18T05:24:36+00:00,USA,
Cracker Barrel,introduced a loyalty rewards program,,Cracker Barrel introduced a loyalty rewards program for frequent diners.,2025-09-18T05:24:36+00:00,USA,
Investors,pressed the company for stronger growth plans,,Investors pressed the company for stronger growth plans.,2025-09-18T05:24:36+00:00,USA,
Cracker Barrel,collaborated with Dolly Parton for a limited menu,,Cracker Barrel collaborated with Dolly Parton for a limited menu.,2025-09-18T05:24:36+00:00,"Tennessee,USA",
Cracker Barrel,revamped its interior design,,Cracker Barrel revamped its interior design across locations.,2025-09-18T05:24:36+00:00,USA,
Cracker Barrel,introduced seasonal specials,,Cracker Barrel introduced seasonal specials nationwide.,2025-09-18T05:24:36+00:00,USA,
Cracker Barrel,faced labor shortage challenges,,Cracker Barrel faced labor shortage challenges.,2025-09-18T05:24:36+00:00,USA,
Julie Felss Masino,commented on evolving customer expectations,,Julie Felss Masino commented on evolving customer expectations.,2025-09-18T05:24:36+00:00,"Lebanon,Tennessee",
Cracker Barrel,announced expansion into urban markets,,Cracker Barrel announced expansion into urban markets.,2025-09-18T05:24:36+00:00,USA,
Cracker Barrel,reported strong holiday sales,,Cracker Barrel reported strong holiday sales.,2025-09-18T05:24:36+00:00,USA,
Cracker Barrel,added a Southern comfort dish,,Cracker Barrel added a Southern comfort dish to its menu.,2025-09-18T05:24:36+00:00,USA,
