Actor,Action,Target,Sentence,Date Received,Locations,Datetimes
The Pitt,won outstanding drama series,,The Pitt won outstanding drama series at the 77th Primetime Emmys.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
Noah Wyle,won outstanding lead actor in a drama series,,Noah Wyle won outstanding lead actor in a drama series for The Pitt.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
Katherine LaNasa,won outstanding lead actress in a drama series,,Katherine LaNasa won outstanding lead actress in a drama series for The Pitt.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
The Studio,won outstanding comedy series,,The Studio won outstanding comedy series at the Emmys.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
Adolescence,won outstanding limited or anthology series,,Adolescence won outstanding limited or anthology series.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
Nate Bargatze,hosted the Emmys for the first time,,Nate Bargatze hosted the Emmys for the first time.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
Jeremy Strong,presented the award for best drama,,Jeremy Strong presented the award for best drama at the Emmys.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
HBO,celebrated multiple Emmy wins,,HBO celebrated multiple Emmy wins during the ceremony.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
Netflix,secured awards in comedy and documentary categories,,Netflix secured awards in comedy and documentary categories.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
Audience,gave a standing ovation to career honoree,,The audience gave a standing ovation to the Emmys career honoree.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
Succession,topped the drama category,,Succession topped the drama category.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
Zendaya,gave an emotional acceptance speech,,Zendaya gave an emotional acceptance speech at the Emmys.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
Pedro Pascal,shared a tribute to nominees,,Pedro Pascal shared a tribute to nominees during the show.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
Saturday Night Live,celebrated a record number of wins,,Saturday Night Live celebrated a record number of wins.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
Lizzo,spoke about diversity in TV,,Lizzo spoke about diversity in TV while accepting an award.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
Academy of Television Arts & Sciences,presented a new humanitarian award,,The Academy of Television Arts & Sciences presented a new humanitarian award.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
Cast of The Bear,won ensemble recognition,,The cast of The Bear won ensemble recognition at the Emmys.,2025-09-18T05:24:36+00:00,"Los Angeles,California",
