Actor,Action,Target,Sentence,Date Received,Locations,Datetimes
Donald Trump,threatened legal action against,Jack Smith,Donald Trump threatened legal action against Jack Smith.,2025-09-18T05:45:26+00:00,"Palm Beach,Florida",
Donald Trump,insulted,Joe Biden,Donald Trump insulted Joe Biden during a televised interview.,2025-09-18T05:45:26+00:00,"New York,USA",
Donald Trump,attacked the credibility of,Kamala Harris,Donald Trump attacked the credibility of Kamala Harris on social media.,2025-09-18T05:45:26+00:00,"Florida,USA",
Donald Trump,criticized,Fani Willis,Donald Trump criticized Fani Willis at a rally.,2025-09-18T05:45:26+00:00,"Atlanta,Georgia",
Donald Trump,threatened to sue,CNN,Donald Trump threatened to sue CNN over coverage.,2025-09-18T05:45:26+00:00,"Palm Beach,Florida",
Donald Trump,mocked,Nancy Pelosi,Donald Trump mocked Nancy Pelosi during a campaign stop.,2025-09-18T05:45:26+00:00,"Iowa,USA",
Donald Trump,blasted,Mitch McConnell,Donald Trump blasted Mitch McConnell in a statement.,2025-09-18T05:45:26+00:00,"Bedminster,New Jersey",
Donald Trump,threatened sanctions against,TikTok,Donald Trump threatened sanctions against TikTok if it failed to divest.,2025-09-18T05:45:26+00:00,"Washington,DC",
Donald Trump,derided,Mark Milley,Donald Trump derided Mark Milley in a late-night post.,2025-09-18T05:45:26+00:00,"Florida,USA",
Donald Trump,threatened to investigate,the Justice Department,Donald Trump threatened to investigate the Justice Department if reelected.,2025-09-18T05:45:26+00:00,"Florida,USA",
Joe Biden,met with,NATO,Joe Biden met with NATO to discuss security commitments.,2025-09-18T05:45:26+00:00,"Washington,DC",
Joe Biden,called,Benjamin Netanyahu,Joe Biden called Benjamin Netanyahu to coordinate on regional security.,2025-09-18T05:45:26+00:00,"Washington,DC",
Kamala Harris,visited,Google,Kamala Harris visited Google to talk about AI policy.,2025-09-18T05:45:26+00:00,"Mountain View,California",
Kamala Harris,hosted,small business owners,Kamala Harris hosted small business owners at the White House.,2025-09-18T05:45:26+00:00,"Washington,DC",
Elon Musk,sued,Media Matters,Elon Musk sued Media Matters in federal court.,2025-09-18T05:45:26+00:00,"Austin,Texas",
Elon Musk,criticized,Apple,Elon Musk criticized Apple over its advertising decisions.,2025-09-18T05:45:26+00:00,"Austin,Texas",
Mark Zuckerberg,partnered with,Ray-Ban,Mark Zuckerberg partnered with Ray-Ban on smart glasses.,2025-09-18T05:45:26+00:00,"Menlo Park,California",
Mark Zuckerberg,met with,EU regulators,Mark Zuckerberg met with EU regulators about platform rules.,2025-09-18T05:45:26+00:00,"Brussels,Belgium",
Taylor Swift,collaborated with,Beyoncé,Taylor Swift collaborated with Beyoncé on a new remix.,2025-09-18T05:45:26+00:00,"Los Angeles,California",
Taylor Swift,thanked,Travis Kelce,Taylor Swift thanked Travis Kelce from the stage.,2025-09-18T05:45:26+00:00,"Kansas City,Missouri",
Jeff Bezos,invested in,Figure AI,Jeff Bezos invested in Figure AI to accelerate robotics.,2025-09-18T05:45:26+00:00,"Seattle,Washington",
Jeff Bezos,visited,Blue Origin,Jeff Bezos visited Blue Origin to review mission plans.,2025-09-18T05:45:26+00:00,"Kent,Washington",
LeBron James,praised,Caitlin Clark,LeBron James praised Caitlin Clark after a breakout performance.,2025-09-18T05:45:26+00:00,"Los Angeles,California",
LeBron James,criticized,the NBA,LeBron James criticized the NBA over officiating consistency.,2025-09-18T05:45:26+00:00,"Los Angeles,California",
Oprah Winfrey,interviewed,Steven Spielberg,Oprah Winfrey interviewed Steven Spielberg for a special broadcast.,2025-09-18T05:45:26+00:00,"Los Angeles,California",
Oprah Winfrey,donated to,Maui relief funds,Oprah Winfrey donated to Maui relief funds.,2025-09-18T05:45:26+00:00,"Maui,Hawaii",
Barack Obama,endorsed,Gretchen Whitmer,Barack Obama endorsed Gretchen Whitmer in a campaign email.,2025-09-18T05:45:26+00:00,"Chicago,Illinois",
Barack Obama,met with,Prince Harry,Barack Obama met with Prince Harry at a veterans event.,2025-09-18T05:45:26+00:00,"Chicago,Illinois",
