Actor,Action,Target,Sentence,Date Received,Locations,Datetimes
Ukrainian forces,engaged,Russian troops,Ukrainian forces engaged Russian troops near the Kharkiv border.,2025-09-18T18:24:49.820602,Kharkiv border,Monday morning
Russian artillery units,launched,Ukrainian positions,Russian artillery units launched strikes on Ukrainian positions east of Kharkiv.,2025-09-18T18:24:49.820615,Kharkiv region,Monday afternoon
Ukrainian drone operators,conducted,a reconnaissance mission,Ukrainian drone operators conducted a reconnaissance mission across the border.,2025-09-18T18:24:49.820618,Russia-Ukraine border,Tuesday morning
Russian armored convoy,advanced toward,Sumy region,A Russian armored convoy advanced toward the Sumy region.,2025-09-18T18:24:49.820620,Sumy region,Tuesday afternoon
Ukrainian air defense units,intercepted,incoming missiles,Ukrainian air defense units intercepted incoming missiles over Chernihiv.,2025-09-18T18:24:49.820622,Chernihiv,Wednesday morning
Russian forces,fortified,border checkpoints,Russian forces fortified border checkpoints along Belgorod.,2025-09-18T18:24:49.820624,Belgorod,Wednesday afternoon
Ukrainian special forces,carried out,a night raid,Ukrainian special forces carried out a night raid on a Russian supply depot.,2025-09-18T18:24:49.820626,near the border,Wednesday night
Russian helicopters,patrolled,border areas,Russian helicopters patrolled border areas near Kursk.,2025-09-18T18:24:49.820628,Kursk,Thursday morning
Ukrainian forces,retook,a border village,Ukrainian forces retook a border village after a brief skirmish.,2025-09-18T18:24:49.820630,border village near Kharkiv,Thursday afternoon
Russian military engineers,constructed,defensive trenches,Russian military engineers constructed defensive trenches near the border.,2025-09-18T18:24:49.820632,Russia-Ukraine border,Friday morning
